Designator,Mid X,Mid Y,Rotation,Layer
C1,102.87,-48.5648,90.0,bottom
C600,103.7844,-33.6296,90.0,top
F601,113.665,-68.072,180.0,top
F602,123.19,-68.072,180.0,top
J1,122.682,-32.639,0.0,top
J610,97.155,-36.0946,-90.0,top
J620,155.042,-76.2045,180.0,top
K601,104.6805,-47.670483,90.0,top
K602,99.6005,-81.1055,90.0,top
K603,104.6805,-58.544983,90.0,top
K604,141.478,-62.484,180.0,top
K605,141.478,-47.244,0.0,top
R1,103.2256,-54.356,90.0,bottom
R3,95.6564,-60.96,-90.0,bottom
R5,98.2472,-60.96,90.0,bottom
R601,108.585,-71.12,180.0,bottom
R602,108.585,-77.0636,180.0,bottom
R603,100.7364,-55.1688,-90.0,bottom
R604,98.2472,-55.626,-90.0,bottom
R605,95.6564,-55.6012,-90.0,bottom
R606,93.1164,-55.5752,-90.0,bottom
R607,93.1164,-60.9092,-90.0,bottom
U601,96.5962,-48.514,-90.0,bottom
